"fdc_id","data_type","description","food_category_id","publication_date"
"321358","foundation_food","Hummus, commercial","16","2019-04-01"
"321360","foundation_food","Tomatoes, grape, raw","11","2019-04-01"
"321611","foundation_food","Beans, snap, green, canned, regular pack, drained solids","11","2019-04-01"
"323121","foundation_food","Frankfurter, beef, unheated","7","2019-04-01"
"323294","foundation_food","Nuts, almonds, dry roasted, with salt added","12","2019-04-01"
"323505","foundation_food","Kale, raw","11","2019-04-01"
"323604","foundation_food","Egg, whole, raw, frozen, pasteurized","1","2019-04-01"
"323697","foundation_food","Egg, white, raw, frozen, pasteurized","1","2019-04-01"
"323793","foundation_food","Egg, white, dried","1","2019-04-01"
"324317","foundation_food","Onion rings, breaded, par fried, frozen, prepared, heated in oven","11","2019-04-01"
"324653","foundation_food","Pickles, cucumber, dill or kosher dill","11","2019-04-01"
"325036","foundation_food","Cheese, parmesan, grated","1","2019-04-01"
"325198","foundation_food","Cheese, pasteurized process, American, vitamin D fortified","1","2019-04-01"
"325287","foundation_food","Grapefruit juice, white, canned or bottled, unsweetened","9","2019-04-01"
"325430","foundation_food","Peaches, yellow, raw","9","2019-04-01"
"325524","foundation_food","Seeds, sunflower seed kernels, dry roasted, with salt added","12","2019-04-01"
"325871","foundation_food","Bread, white, commercially prepared","18","2019-04-01"
"326196","foundation_food","Kale, frozen, cooked, boiled, drained, without salt","11","2019-04-01"
"326698","foundation_food","Mustard, prepared, yellow","2","2019-04-01"
"327046","foundation_food","Kiwifruit, green, raw","9","2019-04-01"
"327357","foundation_food","Nectarines, raw","9","2019-04-01"
"328637","foundation_food","Cheese, cheddar","1","2019-04-01"
"328841","foundation_food","Cheese, cottage, lowfat, 2% milkfat","1","2019-04-01"
"329370","foundation_food","Cheese, mozzarella, low moisture, part-skim","1","2019-04-01"
"329490","foundation_food","Egg, whole, dried","1","2019-04-01"
"329596","foundation_food","Egg, yolk, raw, frozen, pasteurized","1","2019-04-01"
"329716","foundation_food","Egg, yolk, dried","1","2019-04-01"
"330137","foundation_food","Yogurt, Greek, plain, nonfat","1","2019-04-01"
"330415","foundation_food","Yogurt, Greek, strawberry, nonfat","1","2019-04-01"
"330458","foundation_food","Oil, coconut","4","2019-04-01"
"331897","foundation_food","Chicken, broilers or fryers, drumstick, meat only, cooked, braised","5","2019-04-01"
"331960","foundation_food","Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised","5","2019-04-01"
"332282","foundation_food","Sauce, pasta, spaghetti/marinara, ready-to-serve","6","2019-04-01"
"332397","foundation_food","Ham, sliced, pre-packaged, deli meat (96%fat free, water added)","7","2019-04-01"
"332791","foundation_food","Olives, green, Manzanilla, stuffed with pimiento","9","2019-04-01"
"333008","foundation_food","Cookies, oatmeal, soft, with raisins","18","2019-04-01"
"333281","foundation_food","Tomatoes, canned, red, ripe, diced","11","2019-04-01"
"333374","foundation_food","Fish, haddock, raw","15","2019-04-01"
"333476","foundation_food","Fish, pollock, raw","15","2019-04-01"
"334194","foundation_food","Fish, tuna, light, canned in water, drained solids","15","2019-04-01"
"334536","foundation_food","Restaurant, Chinese, fried rice, without meat","25","2019-04-01"
"334628","foundation_food","Restaurant, Latino, tamale, pork","25","2019-04-01"
"334720","foundation_food","Restaurant, Latino, pupusas con frijoles (pupusas, bean)","25","2019-04-01"
"335240","foundation_food","Bread, whole-wheat, commercially prepared","18","2019-04-01"
