"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acqured"
"2219748","321358","1089","2.41","11","1","1.87","2.96","2.33","","2015"
"2219788","321358","1008","229.0","","49","","","","",""
"2219754","321358","1106","1.0","","49","","","","",""
"2219784","321358","1175","0.143","6","1","0.11","0.16","0.15","","2015"
"2219747","321358","1079","5.4","6","1","4.9","5.7","5.5","","2015"
"2219740","321358","1003","7.35","","49","6.2","8.05","7.79","",""
"2219793","321358","1087","41.0","11","1","26.0","57.0","46.0","","2015"
"2219751","321358","1093","438.0","11","1","387.0","489.0","444.0","","2015"
"2219786","321358","1004","17.1","11","1","11.9","19.1","18.2","","2015"
"2219795","321358","1095","1.38","11","1","1.17","1.5","1.45","","2015"
"2219797","321358","1109","1.74","6","1","1.4","2.89","1.53","","2015"
"2219787","321358","1005","14.9","","49","","","","",""
"2219712","321358","1162","0.0","6","1","0.0","0.0","0.0","","2015"
"2220015","321360","1109","0.98","2","1","0.85","1.12","0.98","","2016"
"2219984","321360","1162","27.2","12","1","22.4","32.4","26.3","","2016"
"2219997","321360","1089","0.33","6","1","0.28","0.44","0.31","","2016"
"2220003","321360","1095","0.2","6","1","0.18","0.25","0.19","","2016"
"2220032","321360","1005","5.51","","49","","","","",""
"2219995","321360","1087","11.0","6","1","9.0","15.0","10.0","","2016"
"2220034","321360","1008","27.0","","49","","","","",""
"2220004","321360","1079","2.1","3","1","1.9","2.2","2.2","","2016"
"2220033","321360","1106","0.0","","49","","","","",""
"2220031","321360","1003","0.83","","49","0.75","0.94","0.81","",""
"2220002","321360","1093","6.0","6","1","3.0","10.0","5.0","","2016"
"2219986","321360","1004","0.63","6","1","0.46","0.82","0.64","","2016"
"2220028","321360","1175","0.06","2","1","0.05","0.07","0.06","","2016"
"2220529","321611","1095","0.19","12","1","0.14","0.27","0.19","","2015"
"2220530","321611","1087","36.0","12","1","26.0","42.0","36.0","","2015"
"2220532","321611","1005","4.11","","49","","","","",""
"2220531","321611","1004","0.39","12","1","0.3","0.47","0.38","","2015"
"2220543","321611","1003","1.04","","49","0.81","1.25","1.06","",""
