"id","name","unit_name","nutrient_nbr","rank"
"1003","Protein","G","203","600.0"
"1004","Fat","G","204","800.0"
"1005","Carbohydrate","G","205","1110.0"
"1008","Calorie","KCAL","208","300.0"
"1079","Fiber","G","291","1200.0"
"1087","Calcium(Ca)","MG","301","5300.0"
"1089","Iron(Fe)","MG","303","5400.0"
"1093","Sodium(Na)","MG","307","5800.0"
"1095","Zinc(Zn)","MG","309","5900.0"
"1106","Vitamin A","UG RAE","320","7420.0"
"1109","Vitamin E","MG ATE","323","7905.0"
"1162","Vitamin C","MG","401","6300.0"
"1175","Vitamin B-6","MG","415","6800.0"
"1178","Vitamin B-12","UG","418","7300.0"
